,STATEFIPS,Monthly TANF Applications,YEAR,Total population,Number in poverty,Percent in poverty,TANF apps / Ind in poverty
294,02,904.0,2011,712000,83000,11.7,0.010891566265060241
295,04,5588.916666666667,2011,6547000,1128000,17.2,0.004954713356973996
296,05,2906.0833333333335,2011,2909000,545000,18.7,0.005332262996941896
297,06,45072.333333333336,2011,37590000,6352000,16.9,0.007095770361041143
298,08,2682.75,2011,5016000,661000,13.2,0.004058623298033283
299,09,1908.5833333333333,2011,3514000,356000,10.1,0.005361189138576779
300,10,1052.25,2011,902000,123000,13.7,0.008554878048780488
301,12,35853.333333333336,2011,18990000,2822000,14.9,0.012704937396645405
302,13,6224.833333333333,2011,9681000,1783000,18.4,0.0034912133108992334
303,15,1397.75,2011,1337000,162000,12.1,0.008628086419753087
304,16,639.6666666666666,2011,1574000,248000,15.7,0.002579301075268817
305,17,4375.833333333333,2011,12700000,1807000,14.2,0.002421601180593986
306,18,14611.166666666666,2011,6344000,989000,15.6,0.014773677114930906
307,19,1476.4166666666667,2011,3027000,315000,10.4,0.004687037037037037
308,20,3890.0,2011,2807000,402000,14.3,0.009676616915422886
309,21,4651.833333333333,2011,4302000,689000,16,0.006751572327044025
310,22,1183.5,2011,4494000,947000,21.1,0.0012497360084477297
311,23,1373.4166666666667,2011,1328000,178000,13.4,0.007715823970037453
312,24,6590.166666666667,2011,5806000,537000,9.3,0.012272191185599007
313,25,3729.6666666666665,2011,6514000,688000,10.6,0.005421027131782946
314,26,18238.75,2011,9689000,1449000,15,0.01258712905452036
315,27,5437.666666666667,2011,5276000,528000,10,0.010298611111111113
316,28,1457.25,2011,2932000,510000,17.4,0.0028573529411764706
317,29,4201.0,2011,5892000,910000,15.4,0.004616483516483517
318,30,719.5,2011,986000,163000,16.5,0.004414110429447853
319,31,2631.4166666666665,2011,1823000,187000,10.2,0.01407174688057041
320,32,3938.0833333333335,2011,2682000,414000,15.5,0.009512278582930756
321,33,1220.5833333333333,2011,1300000,99000,7.6,0.012329124579124578
322,34,3632.3333333333335,2011,8642000,988000,11.4,0.0036764507422402163
323,35,3751.4166666666665,2011,2037000,451000,22.2,0.0083179970436068
324,36,20156.166666666668,2011,19330000,3085000,16,0.006533603457590492
325,37,3823.9166666666665,2011,9504000,1459000,15.4,0.002620916152615947
326,38,466.3333333333333,2011,675000,67000,9.9,0.006960199004975124
327,39,17280.25,2011,11310000,1708000,15.1,0.010117242388758782
328,40,2676.1666666666665,2011,3763000,522000,13.9,0.005126756066411238
329,41,6601.083333333333,2011,3850000,553000,14.4,0.011936859553948161
330,42,9447.833333333334,2011,12700000,1604000,12.6,0.005890170407315046
331,44,742.9166666666666,2011,1038000,139000,13.4,0.005344724220623501
332,45,5990.916666666667,2011,4605000,874000,19,0.006854595728451564
333,46,526.3333333333334,2011,808000,117000,14.5,0.004498575498575499
334,47,11037.0,2011,6324000,1030000,16.3,0.010715533980582524
335,48,15088.416666666666,2011,25550000,4458000,17.4,0.0033845708090324508
336,49,3701.0833333333335,2011,2812000,309000,11,0.011977615965480044
337,50,1671.5,2011,615000,71000,11.6,0.02354225352112676
338,51,4575.5,2011,7971000,907000,11.4,0.005044652701212789
339,53,11637.0,2011,6812000,854000,12.5,0.013626463700234192
340,54,1372.3333333333333,2011,1820000,318000,17.5,0.004315513626834381
341,55,2773.1666666666665,2011,5676000,743000,13.1,0.0037323912068192014
342,56,111.41666666666667,2011,562000,60000,10.7,0.0018569444444444445
343,02,1004.8333333333334,2012,702000,70000,10,0.014354761904761905
344,04,7758.083333333333,2012,6642000,1260000,19,0.006157208994708995
345,05,2618.5833333333335,2012,2909000,584000,20.1,0.004483875570776256
346,06,45158.916666666664,2012,37910000,6015000,15.9,0.007507716819063452
347,08,3342.8333333333335,2012,5153000,613000,11.9,0.005453235454051115
348,09,1824.4166666666667,2012,3517000,363000,10.3,0.005025941230486685
349,10,1072.8333333333333,2012,900000,121000,13.5,0.008866391184573002
350,12,32831.916666666664,2012,19170000,2926000,15.3,0.011220750740487583
351,13,5875.0,2012,9665000,1752000,18.1,0.003353310502283105
352,15,1396.0,2012,1356000,188000,13.8,0.0074255319148936174
353,16,608.5,2012,1588000,229000,14.4,0.0026572052401746724
354,17,5797.916666666667,2012,12730000,1608000,12.6,0.003605669568822554
355,18,15397.25,2012,6343000,964000,15.2,0.015972251037344398
356,19,1510.0833333333333,2012,3010000,310000,10.3,0.004871236559139785
357,20,3310.6666666666665,2012,2828000,397000,14,0.0083392107472712
358,21,4393.083333333333,2012,4342000,776000,17.9,0.005661189862542955
359,22,948.75,2012,4465000,944000,21.1,0.001005031779661017
360,23,1330.3333333333333,2012,1330000,170000,12.8,0.00782549019607843
361,24,6731.416666666667,2012,5892000,585000,9.9,0.011506695156695158
362,25,4412.0,2012,6566000,743000,11.3,0.005938088829071333
363,26,18617.75,2012,9731000,1331000,13.7,0.01398779113448535
364,27,5362.583333333333,2012,5353000,534000,10,0.010042290886392009
365,28,1350.5,2012,2893000,636000,22,0.002123427672955975
366,29,3879.0,2012,5956000,905000,15.2,0.004286187845303867
367,30,648.5833333333334,2012,999000,134000,13.4,0.004840174129353234
368,31,2644.5833333333335,2012,1849000,226000,12.2,0.011701696165191742
369,32,4029.6666666666665,2012,2735000,433000,15.8,0.009306389530408006
370,33,1198.75,2012,1308000,106000,8.1,0.011308962264150943
371,34,3415.6666666666665,2012,8720000,814000,9.3,0.004196150696150696
372,35,3658.5833333333335,2012,2064000,420000,20.4,0.008710912698412699
373,36,20327.583333333332,2012,19300000,3328000,17.2,0.006108047876602564
374,37,3485.25,2012,9634000,1652000,17.2,0.0021097154963680385
375,38,439.3333333333333,2012,692000,79000,11.4,0.005561181434599156
376,39,14497.166666666666,2012,11400000,1751000,15.4,0.008279364172853607
377,40,2246.0833333333335,2012,3700000,668000,18,0.0033624001996007988
378,41,1704.0833333333333,2012,3872000,523000,13.5,0.0032582855321861056
379,42,8814.666666666666,2012,12660000,1756000,13.9,0.005019741837509491
380,44,741.6666666666666,2012,1034000,141000,13.6,0.005260047281323877
381,45,5436.25,2012,4667000,779000,16.7,0.006978498074454428
382,46,493.75,2012,822000,106000,12.8,0.004658018867924528
383,47,10068.416666666666,2012,6422000,1194000,18.6,0.00843250977107761
384,48,25790.916666666668,2012,26060000,4444000,17,0.005803536603660366
385,49,3113.1666666666665,2012,2849000,312000,11,0.00997809829059829
386,50,1749.1666666666667,2012,615000,69000,11.2,0.02535024154589372
387,51,4657.833333333333,2012,7994000,850000,10.6,0.005479803921568627
388,53,10463.5,2012,6856000,796000,11.6,0.013145100502512563
389,54,1201.4166666666667,2012,1803000,301000,16.7,0.003991417497231451
390,55,2688.8333333333335,2012,5628000,640000,11.4,0.004201302083333334
391,56,99.25,2012,577000,56000,9.6,0.0017723214285714287
392,02,937.4166666666666,2013,696000,67000,9.7,0.013991293532338307
394,04,7181.416666666667,2013,6532000,1163000,17.8,0.006174906850100316
396,05,2376.25,2013,2852000,395000,13.9,0.006015822784810126
398,06,42318.0,2013,38210000,5754000,15.1,0.007354535974973931
400,08,3383.1666666666665,2013,5303000,569000,10.7,0.00594581136496778
402,09,1704.5,2013,3637000,396000,10.9,0.004304292929292929
404,10,948.6666666666666,2013,912000,102000,11.2,0.009300653594771242
406,12,30437.166666666668,2013,19460000,2882000,14.8,0.010561126532500579
408,13,5151.166666666667,2013,9848000,1825000,18.5,0.0028225570776255707
410,15,1350.0,2013,1338000,142000,10.6,0.009507042253521126
412,16,605.75,2013,1610000,200000,12.4,0.00302875
414,17,433.9166666666667,2013,12650000,1720000,13.6,0.00025227713178294575
416,18,7004.083333333333,2013,6557000,1083000,16.5,0.006467297630040012
418,19,1454.4166666666667,2013,3076000,405000,13.2,0.0035911522633744856
420,20,3032.25,2013,2760000,315000,11.4,0.009626190476190476
422,21,4389.666666666667,2013,4501000,991000,22,0.004429532458795829
424,22,751.4166666666666,2013,4534000,963000,21.2,0.0007802872966424368
426,23,1184.5,2013,1330000,151000,11.4,0.007844370860927152
428,24,6755.416666666667,2013,5946000,623000,10.5,0.010843365436062066
430,25,5341.75,2013,6735000,818000,12.1,0.006530256723716381
432,26,18660.5,2013,10070000,1277000,12.7,0.014612764291307753
434,27,5433.5,2013,5349000,589000,11,0.009224957555178269
436,28,1257.6666666666667,2013,2895000,554000,19.1,0.002270156438026474
438,29,3637.9166666666665,2013,5955000,1041000,17.5,0.0034946365674031377
440,30,815.1666666666666,2013,980000,103000,10.5,0.007914239482200647
442,31,2270.5833333333335,2013,1868000,196000,10.5,0.011584608843537415
444,32,4519.583333333333,2013,2774000,401000,14.5,0.011270781379883623
446,33,1119.0833333333333,2013,1301000,71000,5.5,0.015761737089201876
