,STATEFIPS,YEAR,Child Poverty Rate
1756,49,2014,0.13
1757,48,2014,0.25
1758,47,2014,0.26
1759,46,2014,0.18
1760,45,2014,0.27
1761,44,2014,0.2
1762,42,2014,0.19
1763,41,2014,0.22
1764,40,2014,0.22
1765,39,2014,0.23
1766,38,2014,0.15
1767,37,2014,0.24
1768,36,2014,0.23
1769,35,2014,0.3
1770,34,2014,0.16
1771,33,2014,0.13
1772,32,2014,0.22
1773,31,2014,0.16
1774,30,2014,0.19
1775,29,2014,0.21
1776,28,2014,0.29
1777,27,2014,0.15
1778,26,2014,0.23
1779,25,2014,0.15
1780,24,2014,0.13
1781,23,2014,0.19
1782,22,2014,0.28
1783,21,2014,0.26
1784,20,2014,0.18
1785,19,2014,0.15
1786,18,2014,0.22
1787,17,2014,0.2
1788,16,2014,0.19
1789,15,2014,0.15
1790,13,2014,0.26
1791,12,2014,0.24
1793,10,2014,0.18
1794,09,2014,0.15
1795,08,2014,0.15
1796,06,2014,0.23
1797,05,2014,0.26
1798,04,2014,0.26
1799,02,2014,0.16
1800,01,2014,0.28
1803,01,2016,0.25
1804,02,2016,0.14
1805,04,2016,0.24
1806,05,2016,0.24
1807,06,2016,0.2
1808,08,2016,0.13
1809,09,2016,0.13
1810,10,2016,0.17
1812,12,2016,0.21
1813,13,2016,0.23
1814,15,2016,0.1
1815,16,2016,0.18
1816,17,2016,0.18
1817,18,2016,0.2
1818,19,2016,0.15
1819,20,2016,0.14
1820,21,2016,0.25
1821,22,2016,0.29
1822,23,2016,0.17
1823,24,2016,0.13
1824,25,2016,0.14
1825,26,2016,0.21
1826,27,2016,0.13
1827,28,2016,0.3
1828,29,2016,0.19
1829,30,2016,0.15
1830,31,2016,0.14
1831,32,2016,0.19
1832,33,2016,0.08
1833,34,2016,0.15
1834,35,2016,0.3
1835,36,2016,0.21
1836,37,2016,0.22
1837,38,2016,0.12
1838,39,2016,0.21
1839,40,2016,0.23
1840,41,2016,0.17
1841,42,2016,0.19
1842,44,2016,0.17
1843,45,2016,0.23
1844,46,2016,0.17
1845,47,2016,0.23
1846,48,2016,0.22
1847,49,2016,0.11
1848,50,2016,0.15
1849,51,2016,0.14
1850,53,2016,0.14
1851,54,2016,0.24
1852,55,2016,0.16
1853,56,2016,0.11
1962,56,2017,0.13
1963,55,2017,0.14
1964,54,2017,0.26
1965,53,2017,0.14
1966,51,2017,0.14
1967,50,2017,0.14
1968,49,2017,0.11
1969,48,2017,0.21
1970,47,2017,0.21
1971,46,2017,0.17
1972,45,2017,0.23
1973,44,2017,0.17
1974,42,2017,0.17
1975,41,2017,0.16
1976,40,2017,0.21
1977,39,2017,0.2
1978,38,2017,0.11
1979,37,2017,0.21
1980,36,2017,0.2
1981,35,2017,0.27
1982,34,2017,0.14
1983,33,2017,0.1
1984,32,2017,0.19
1985,31,2017,0.14
1986,30,2017,0.15
1987,29,2017,0.19
1988,28,2017,0.27
1989,27,2017,0.12
1990,26,2017,0.2
1991,25,2017,0.14
1992,24,2017,0.12
1993,23,2017,0.13
1994,22,2017,0.28
1995,21,2017,0.22
1996,20,2017,0.15
1997,19,2017,0.12
1998,18,2017,0.18
1999,17,2017,0.17
2000,16,2017,0.15
2001,15,2017,0.12
2002,13,2017,0.21
2003,12,2017,0.2
2005,10,2017,0.18
2006,09,2017,0.13
2007,08,2017,0.12
2008,06,2017,0.18
2009,05,2017,0.22
2010,04,2017,0.21
2011,02,2017,0.15
2012,01,2017,0.25
2014,01,2022,0.22
2016,04,2022,0.16
2017,02,2022,0.14
2018,06,2022,0.15
