,State,Enrolled Individuals,Year
0,05,426068.5,2016
1,22,927168.0833,2016
2,35,471246.75,2016
3,40,612869.3333,2016
4,48,3768471.6667,2016
0,08,475690.3333,2016
1,19,380705.0833,2016
2,20,253832.8333,2016
3,29,810690.0,2016
4,30,116625.75,2016
5,31,175850.6667,2016
6,38,54252.25,2016
7,46,95983.25,2016
8,49,219819.5833,2016
9,56,33852.9167,2016
0,02,82326.25,2016
1,04,960104.6667,2016
2,06,4340042.0833,2016
3,66,46712.5833,2016
4,15,176729.0833,2016
5,16,185303.4167,2016
6,32,439782.4167,2016
7,41,734864.0,2016
8,53,1011411.6667,2016
0,09,410344.4167,2017
1,23,179734.1667,2017
2,25,766115.5833,2017
3,33,92456.5833,2017
4,36,2910894.0,2017
5,44,164410.4167,2017
6,50,76558.3333,2017
7,78,26757.75,2017
0,10,146805.4167,2017
2,24,684281.9167,2017
3,34,817979.25,2017
4,42,1842945.0833,2017
5,51,775548.0833,2017
6,54,340307.6667,2017
0,01,804336.0,2017
1,12,3186536.8333,2017
2,13,1625414.75,2017
3,21,654873.25,2017
4,28,537369.8333,2017
5,37,1453826.8333,2017
6,45,719977.3333,2017
7,47,1047057.5833,2017
0,17,1878519.0,2017
1,18,671985.6667,2017
2,19,365892.5,2017
3,26,1375434.1667,2017
4,27,453563.5833,2017
5,39,1501795.25,2017
6,55,691634.6667,2017
0,04,918727.6667,2017
1,05,388362.0833,2017
2,22,928961.9167,2017
3,35,460533.8333,2017
4,40,603896.1667,2017
5,48,3921277.5,2017
6,49,206298.6667,2017
0,08,459247.3333,2017
1,20,233777.5,2017
2,29,758918.1667,2017
3,30,120888.5,2017
4,31,175848.6667,2017
5,38,53748.25,2017
6,46,93258.5,2017
7,56,32838.5,2017
0,02,89112.5833,2017
1,06,4112066.0,2017
2,66,45263.0,2017
3,15,169045.0,2017
4,16,171250.8333,2017
5,32,440613.8333,2017
6,41,680670.5833,2017
7,53,929485.6667,2017
0,09,387328.8333,2018
1,23,167857.6667,2018
2,25,770565.5,2018
3,33,86501.6667,2018
4,36,2796620.1667,2018
5,44,158986.1667,2018
6,50,73057.5833,2018
7,78,32832.6667,2018
0,10,140297.5,2018
2,24,646483.25,2018
3,34,760303.1667,2018
4,42,1818588.8333,2018
5,51,736220.9167,2018
6,54,321008.8333,2018
0,01,766680.5833,2018
1,12,3347518.3333,2018
2,13,1556452.4167,2018
3,21,615305.3333,2018
4,28,505308.3333,2018
5,37,1344484.5,2018
6,45,658119.0833,2018
7,47,970875.0,2018
0,17,1826010.9167,2018
1,18,617032.4167,2018
